
COORDINATES ARE EAST,NORTH,UP.
stress tensors are:
X Y See Sen Seu Snn Snu Suu
  0   0  1.053112 -0.178413  0.326629  0.240605  0.040429 -1.293716
  0   1  1.075404 -0.149879  0.268953  0.168775  0.068468 -1.244179
  0   2  1.133074 -0.192834  0.236021  0.087245  0.134867 -1.220319
  0   3  1.152847 -0.162569  0.159080  0.123849  0.123028 -1.276696
  0   4  1.141024 -0.176545  0.128799  0.144245  0.117367 -1.285269
  0   5  0.992389  0.019941  0.563972  0.176816  0.412857 -1.169206
  0   6  0.992389  0.019941  0.563972  0.176816  0.412857 -1.169206
  0   7  0.992389  0.019941  0.563972  0.176816  0.412857 -1.169206
  0   8  1.063625 -0.006699  0.720773  0.052723  0.465619 -1.116348
  0   9  1.063625 -0.006699  0.720773  0.052723  0.465619 -1.116348
  0  10  1.063625 -0.006699  0.720773  0.052723  0.465619 -1.116348
  0  11  1.172666 -0.107595  0.601052  0.028566  0.421513 -1.201232
  0  12  1.185639 -0.083312  0.580379  0.004622  0.393356 -1.190261
  0  13  1.133068 -0.050388  0.508233 -0.008942  0.477349 -1.124126
  0  14  0.936781  0.061837  0.264711  0.076669  0.712789 -1.013450
  0  15  1.068280  0.079099  0.045942  0.124712  0.547968 -1.192992
  0  16  1.115612  0.015117  0.108033  0.161202  0.641317 -1.276814
  0  17  0.916150  0.194816  0.113981  0.302919  0.831038 -1.219069
  0  18  1.191933 -0.316241  0.252767 -0.441950  0.191901 -0.749983
  0  19  1.288673 -0.009711  0.447451 -0.379831  0.270309 -0.908842
  0  20  1.238867 -0.151158  0.222274 -0.289074  0.231105 -0.949793
  0  21  1.282928  0.109171  0.618478 -0.305997  0.271649 -0.976930
  0  22  1.262830 -0.008573  0.720739 -0.348164  0.242627 -0.914666
  0  23  1.300863 -0.091470  0.722169 -0.370037  0.181881 -0.930826
  0  24  1.300863 -0.091470  0.722169 -0.370037  0.181881 -0.930826
  0  25  1.163011 -0.212781  0.432787 -0.264724  0.054836 -0.898286
  0  26  1.099925 -0.292660  0.372529 -0.256061 -0.111692 -0.843864
  0  27  1.168899 -0.238517  0.377567 -0.248520 -0.058681 -0.920379
  0  28  1.170297 -0.215318  0.358925 -0.170548 -0.032414 -0.999749
  0  29  0.958072 -0.352420  0.038437 -0.116281 -0.095033 -0.841791
  0  30  0.895688 -0.349651 -0.170265 -0.052745 -0.162429 -0.842943
  0  31  0.900897 -0.378214 -0.198432 -0.075786 -0.092477 -0.825111
  0  32  0.908976 -0.378543 -0.174489 -0.075963 -0.138588 -0.833013
  0  33  0.898568 -0.323707 -0.237135  0.016093 -0.078699 -0.914661
  0  34  0.914515 -0.359685 -0.200853 -0.042566 -0.093279 -0.871949
  0  35  0.885534 -0.381731 -0.201622 -0.025634 -0.114772 -0.859900
  0  36  0.853341 -0.501217 -0.358422 -0.032769 -0.194708 -0.820572
  0  37  0.866021 -0.390567 -0.445151  0.056757 -0.159953 -0.922778
  0  38  0.878164 -0.323734 -0.474169  0.073518 -0.156880 -0.951682
  0  39  0.883020 -0.313571 -0.473747  0.072955 -0.151144 -0.955975
  0  40  0.948745 -0.314836 -0.409651  0.043827 -0.114199 -0.992572
  0  41  0.917555 -0.363241 -0.471791  0.023689 -0.105859 -0.941244
  0  42  0.970140 -0.352749 -0.352923 -0.031436 -0.099852 -0.938704
  0  43  0.961210 -0.299834 -0.260414  0.018166 -0.154665 -0.979376
  0  44  1.006186 -0.295022 -0.172265  0.000749 -0.115406 -1.006935
  0  45  0.980856 -0.391118 -0.260111  0.030399  0.044407 -1.011255
  0  46  0.966999 -0.375081 -0.200349  0.061813 -0.082621 -1.028812
  0  47  1.012714 -0.399684 -0.245229  0.020016  0.070188 -1.032730
  0  48  0.924238 -0.413004 -0.215005  0.131163 -0.069082 -1.055400
  0  49  0.924238 -0.413004 -0.215005  0.131163 -0.069082 -1.055400
  0  50  1.002457 -0.403071 -0.228184  0.039432  0.008872 -1.041890
  0  51  1.002457 -0.403071 -0.228184  0.039432  0.008872 -1.041890
  0  52  0.969392 -0.469643 -0.113461 -0.069985 -0.043347 -0.899406
  0  53  0.969392 -0.469643 -0.113461 -0.069985 -0.043347 -0.899406
  0  54  0.939453 -0.370962 -0.159265 -0.055261 -0.028429 -0.884192
  0  55  0.932685 -0.377793 -0.145746  0.078073  0.062153 -1.010758
  0  56  0.953652 -0.253717 -0.403785  0.291517  0.284221 -1.245169
  0  57  0.876882 -0.232658 -0.521099  0.158520  0.074041 -1.035402
  0  58  0.960065 -0.199238 -0.821682  0.021468  0.310845 -0.981533
  0  59  0.928672 -0.163715 -0.513677 -0.034531  0.336117 -0.894141
  0  60  0.881905 -0.153306 -0.350403  0.153258  0.097951 -1.035163
  0  61  0.999657 -0.121859 -0.352648  0.014763  0.157191 -1.014420
  0  62  1.019045 -0.064626 -0.246786  0.113992  0.161670 -1.133037
  0  63  0.968948 -0.062357 -0.171070  0.154921  0.146028 -1.123869
  0  64  0.961385 -0.002524 -0.124035  0.211323  0.155496 -1.172708
  0  65  0.934801  0.031322 -0.076621  0.262438  0.146891 -1.197238
  0  66  0.880292 -0.041560 -0.034067  0.340216  0.100411 -1.220508
  0  67  0.884589 -0.037020 -0.036660  0.347885  0.116692 -1.232474
  0  68  0.883476 -0.053900 -0.032364  0.333076  0.151327 -1.216552
  0  69  0.911680 -0.032643  0.052123  0.238517  0.217835 -1.150196
  0  70  0.921541 -0.062486 -0.024124  0.120011  0.134883 -1.041551
  0  71  0.882555 -0.083001 -0.099401  0.164227  0.151973 -1.046782
  0  72  0.896557 -0.057334 -0.033562  0.175640  0.132994 -1.072197
  0  73  0.910465 -0.076474 -0.027668  0.164343  0.123863 -1.074807
  0  74  0.990609 -0.012132 -0.141683  0.062403  0.212644 -1.053012
  0  75  1.006257 -0.031682 -0.105790  0.033506  0.239884 -1.039763
  0  76  1.012281 -0.024825 -0.098659  0.012056  0.292988 -1.024337
  0  77  1.012144  0.002311 -0.098316 -0.020153  0.282332 -0.991991
  0  78  1.057646 -0.008608 -0.128729 -0.079171  0.238751 -0.978475
  0  79  1.089064 -0.061068 -0.132524 -0.159819  0.203509 -0.929245
  0  80  1.038719 -0.107790 -0.181272 -0.142546  0.166633 -0.896173
  0  81  1.068034 -0.082798 -0.196590 -0.147861  0.177665 -0.920174
  0  82  1.076701 -0.108879 -0.182650 -0.187981  0.132063 -0.888720
  0  83  1.069495 -0.104720 -0.191812 -0.186518  0.130142 -0.882977
  0  84  1.090997 -0.107958 -0.214806 -0.193537  0.112228 -0.897460
  0  85  1.114988 -0.114134 -0.182523 -0.185477  0.126147 -0.929511
  0  86  1.115956 -0.130269 -0.169915 -0.223885  0.118314 -0.892071
  0  87  1.143580 -0.135489 -0.204476 -0.272943  0.157505 -0.870637
  0  88  1.151654 -0.110738 -0.218330 -0.313346  0.131191 -0.838309
  0  89  1.115329 -0.179295 -0.185168 -0.271574  0.071355 -0.843756
  0  90  1.105272 -0.134577 -0.135410 -0.274340  0.080104 -0.830932
  0  91  1.089396 -0.154407 -0.102943 -0.253630 -0.051463 -0.835767
  0  92  1.113330 -0.211173 -0.102911 -0.258456 -0.027815 -0.854875
  0  93  1.070388 -0.265142 -0.066155 -0.242912 -0.024390 -0.827476
  0  94  1.066222 -0.202107 -0.070465 -0.198693 -0.019896 -0.867530
  0  95  1.194017 -0.179617 -0.002980 -0.248914 -0.059191 -0.945103
  0  96  1.147123 -0.150181  0.135986 -0.205049 -0.059209 -0.942074
  0  97  1.156847 -0.078178 -0.008290 -0.216589  0.016822 -0.940258
  0  98  1.163735 -0.097519 -0.056264 -0.253071  0.068187 -0.910664
  0  99  1.171521 -0.115239 -0.127354 -0.264374 -0.049627 -0.907147
  0 100  1.160011 -0.074957 -0.111666 -0.224562  0.006473 -0.935449
  0 101  1.128395 -0.130781 -0.131317 -0.190602  0.014642 -0.937793
  0 102  1.139026 -0.138416 -0.080919 -0.167452 -0.016019 -0.971574
  0 103  1.050529 -0.201126 -0.051168 -0.074059 -0.059428 -0.976469
  0 104  1.046152 -0.192356 -0.066856 -0.060958 -0.052866 -0.985194
  0 105  1.105460 -0.135358 -0.128276 -0.112011  0.011312 -0.993449
  0 106  1.076715 -0.121381 -0.190748 -0.124038  0.059639 -0.952677
  0 107  1.056698 -0.108265 -0.229590 -0.119400  0.026401 -0.937299
  0 108  1.086118 -0.112668 -0.223342 -0.158699  0.043106 -0.927419
  0 109  1.055958 -0.151085 -0.292624 -0.173412  0.026602 -0.882546
  0 110  1.075628 -0.152262 -0.279043 -0.196374  0.053509 -0.879254
  0 111  1.078792 -0.180343 -0.256975 -0.202740  0.018772 -0.876052
  0 112  1.009634 -0.214752 -0.304189 -0.146219  0.057180 -0.863415
  0 113  1.014791 -0.219315 -0.306957 -0.144913  0.040451 -0.869878
  0 114  1.025404 -0.222447 -0.314450 -0.147816  0.130133 -0.877589
  0 115  1.018887 -0.277754 -0.329873 -0.166846  0.104059 -0.852040
  0 116  1.055858 -0.223186 -0.323406 -0.199722  0.116775 -0.856137
  0 117  1.000451 -0.245041 -0.369945 -0.192056  0.169574 -0.808395
  0 118  1.053697 -0.229444 -0.379636 -0.225201  0.190902 -0.828496
  0 119  1.064259 -0.233893 -0.359231 -0.242225  0.180212 -0.822034
  0 120  1.065742 -0.319846 -0.343774 -0.280592  0.162147 -0.785150
  0 121  1.048065 -0.360504 -0.298500 -0.260134  0.143390 -0.787931
  0 122  0.998794 -0.375994 -0.291038 -0.212802  0.216604 -0.785992
  0 123  0.966292 -0.390566 -0.264185 -0.164763  0.234402 -0.801529
  0 124  1.008896 -0.338747 -0.190306 -0.123562  0.220421 -0.885334
  0 125  0.980924 -0.353694 -0.273902 -0.095132  0.230793 -0.885792
  0 126  1.027475 -0.292638 -0.264093 -0.143840  0.263694 -0.883635
  0 127  1.091855 -0.263693 -0.156100 -0.196091  0.238326 -0.895764
  0 128  0.996110 -0.308191 -0.154550 -0.160636  0.300775 -0.835474
  0 129  0.965665 -0.322163 -0.195238 -0.177471  0.250988 -0.788194
  0 130  0.953127 -0.300423 -0.146075 -0.170044  0.296056 -0.783083
  0 131  0.963125 -0.310490 -0.051992 -0.181818  0.248199 -0.781307
  0 132  1.056097 -0.260102  0.016311 -0.209256  0.219319 -0.846842
  0 133  1.004116 -0.271744 -0.052973 -0.239692  0.250815 -0.764424
  0 134  0.983913 -0.242588 -0.042533 -0.206072  0.191426 -0.777841
  0 135  0.944881 -0.241674 -0.076759 -0.207869  0.233876 -0.737012
  0 136  0.933148 -0.221533 -0.077819 -0.192014  0.266330 -0.741134
  0 137  1.006657 -0.238488 -0.153879 -0.281494  0.231841 -0.725164
  0 138  1.011021 -0.240568 -0.115160 -0.263529  0.163252 -0.747492
  0 139  0.975289 -0.284030 -0.102678 -0.285289  0.228939 -0.690000
  0 140  0.948003 -0.307158 -0.089292 -0.247508  0.225802 -0.700495
  0 141  0.823321 -0.328811 -0.228390 -0.121158  0.236211 -0.702163
  0 142  0.875540 -0.267623 -0.257985 -0.140636  0.215755 -0.734904
  0 143  0.864402 -0.275893 -0.261242 -0.115442  0.198180 -0.748961
  0 144  0.890805 -0.281913 -0.227630 -0.107976  0.232176 -0.782830
  0 145  0.894663 -0.326878 -0.243584 -0.145213  0.190074 -0.749449
  0 146  0.883493 -0.343114 -0.287485 -0.128401  0.190568 -0.755092
  0 147  0.886509 -0.353808 -0.294648 -0.152173  0.211214 -0.734336
  0 148  0.874374 -0.387383 -0.284240 -0.142095  0.192361 -0.732279
  0 149  0.879417 -0.422968 -0.328586 -0.167784  0.278373 -0.711633
  0 150  0.903370 -0.396794 -0.353282 -0.143891  0.245776 -0.759479
  0 151  0.841733 -0.444861 -0.339870 -0.145008  0.225593 -0.696725
  0 152  0.857755 -0.452598 -0.270466 -0.108523  0.162725 -0.749232
  0 153  0.847591 -0.463600 -0.341282 -0.120768  0.157616 -0.726823
  0 154  0.859786 -0.452955 -0.324615 -0.095327  0.113542 -0.764458
  0 155  0.860944 -0.472296 -0.347150 -0.108060  0.095119 -0.752884
  0 156  0.974090 -0.496833 -0.191088 -0.211363  0.040775 -0.762727
  0 157  0.817815 -0.669704 -0.203296 -0.140435  0.007943 -0.677379
  0 158  0.850363 -0.655556 -0.191472 -0.176147  0.039404 -0.674215
  0 159  0.840573 -0.668828 -0.193512 -0.194780  0.019600 -0.645792
  0 160  0.877666 -0.654297 -0.263655 -0.195177  0.044817 -0.682489
  0 161  0.843350 -0.651923 -0.295088 -0.172650  0.054145 -0.670700
  0 162  0.716296 -0.635694 -0.166328 -0.085469  0.101200 -0.630826
  0 163  0.762039 -0.562501 -0.128132 -0.074678  0.121959 -0.687360
  0 164  0.857821 -0.628139 -0.124075 -0.121309  0.006984 -0.736511
  0 165  0.884288 -0.528695 -0.003636 -0.011745 -0.054820 -0.872544
  0 166  0.977187 -0.514935 -0.144418 -0.121063 -0.040852 -0.856124
  0 167  1.039174 -0.563660 -0.082625 -0.240712  0.027783 -0.798462
  0 168  1.076127 -0.507724 -0.038126 -0.230648  0.063047 -0.845479
  0 169  1.160172 -0.376106  0.004536 -0.251040  0.087002 -0.909132
  0 170  1.154222 -0.344242  0.029154 -0.199677  0.025848 -0.954546
  0 171  1.098923 -0.312554  0.054017 -0.130191  0.031743 -0.968731
  0 172  1.095856 -0.357726  0.089687 -0.154726  0.013764 -0.941129
  0 173  1.101314 -0.339856  0.119666 -0.159829  0.039764 -0.941485
  0 174  1.028491 -0.356540  0.079709 -0.093369 -0.008686 -0.935122
  0 175  0.989635 -0.390100  0.055386 -0.044673 -0.049133 -0.944962
  0 176  1.030440 -0.332062  0.094616 -0.043196 -0.054800 -0.987244
  0 177  1.053408 -0.311881  0.069866 -0.079396 -0.078274 -0.974013
  0 178  1.054306 -0.298504  0.071121 -0.080100 -0.094965 -0.974206
  0 179  1.051936 -0.255528  0.064634 -0.066493 -0.110254 -0.985443
  0 180  1.093518 -0.270245  0.058192 -0.120690 -0.029994 -0.972828
  0 181  1.057224 -0.320637  0.137501 -0.071557 -0.077409 -0.985667
  0 182  1.043487 -0.353197  0.140447 -0.049104 -0.104895 -0.994383
  0 183  1.061432 -0.325315  0.111272 -0.067018 -0.086077 -0.994414
  0 184  1.027294 -0.347994  0.094667 -0.040864  0.000081 -0.986430
  0 185  1.046238 -0.347188  0.020246 -0.125230  0.069181 -0.921008
  0 186  1.106552 -0.393903  0.011879 -0.168651  0.043719 -0.937901
  0 187  1.102465 -0.353960 -0.047685 -0.148658  0.099594 -0.953806
  0 188  1.108228 -0.362565 -0.091945 -0.115862  0.035508 -0.992367
  0 189  1.174713 -0.315225 -0.105284 -0.189732  0.072996 -0.984981
  0 190  1.254238 -0.244692  0.045489 -0.236899  0.121696 -1.017339
  0 191  1.296844 -0.262690  0.071557 -0.302122  0.139624 -0.994722
  0 192  1.305784 -0.263616  0.051769 -0.318527  0.166215 -0.987257
  0 193  1.303327 -0.255150  0.052166 -0.321812  0.157526 -0.981514
  0 194  1.293712 -0.278093  0.047451 -0.321479  0.191712 -0.972233
  0 195  1.265770 -0.247862  0.052197 -0.282579  0.145993 -0.983192
  0 196  1.250214 -0.243813  0.003134 -0.273321  0.225568 -0.976893
  0 197  1.257731 -0.290349 -0.042749 -0.311894  0.200743 -0.945837
  0 198  1.240098 -0.402222 -0.104291 -0.337732  0.118472 -0.902366
  0 199  1.164358 -0.575409 -0.103076 -0.386991 -0.006986 -0.777368
  1   0  0.500000  0.500000  0.000001  0.500000  0.999999 -1.000000
  1   1  0.500000  0.500000  0.000001  0.500000  0.999999 -1.000000
  1   2  0.500000  0.500000  0.000001  0.500000  0.999999 -1.000000
  1   3  0.500000  0.500000  0.000001  0.500000  0.999999 -1.000000
  1   4  0.500000  0.500000  0.000001  0.500000  0.999999 -1.000000
  1   5  0.500000  0.500000  0.000001  0.500000  0.999999 -1.000000
  1   6  0.500000  0.500000  0.000001  0.500000  0.999999 -1.000000
  1   7  0.500000  0.500000  0.000001  0.500000  0.999999 -1.000000
  1   8  0.500000  0.500000  0.000001  0.500000  0.999999 -1.000000
  1   9  0.500000  0.500000  0.000001  0.500000  0.999999 -1.000000
  1  10  0.500000  0.500000  0.000001  0.500000  0.999999 -1.000000
  1  11  0.500000  0.500000  0.000001  0.500000  0.999999 -1.000000
  1  12  0.500000  0.500000  0.000001  0.500000  0.999999 -1.000000
  1  13  0.500000  0.500000  0.000001  0.500000  0.999999 -1.000000
  1  14  0.500000  0.500000  0.000001  0.500000  0.999999 -1.000000
  1  15  0.500000  0.500000  0.000001  0.500000  0.999999 -1.000000
  1  16  0.500000  0.500000  0.000001  0.500000  0.999999 -1.000000
  1  17  0.500000  0.500000  0.000001  0.500000  0.999999 -1.000000
  1  18  0.500000  0.500000  0.000001  0.500000  0.999999 -1.000000


dip direction, dip, rake, fit angle, mag tau, X, Y
  297.0     49.0    -81.0      6.7    1.19    0    0
  312.0     36.0    -45.0     43.5    0.96    0    0
  161.0     57.0    -94.0     37.4    0.91    0    0
  322.0     76.0    -65.0      4.8    0.72    0    0
  173.0     70.0    -13.0     41.3    0.63    0    0
   82.0     54.0    -70.0     33.3    1.01    0    0
  219.0     64.0    -99.0      6.5    0.84    0    0
  159.0     63.0    -41.0     11.7    0.83    0    0
  190.0     80.0    -62.0     14.6    0.36    0    0
  297.0     49.0    -81.0      4.5    1.15    0    1
  312.0     36.0    -45.0     40.8    0.94    0    1
  161.0     57.0    -94.0     37.8    0.87    0    1
  322.0     76.0    -65.0     11.3    0.68    0    1
  173.0     70.0    -13.0     43.1    0.60    0    1
   82.0     54.0    -70.0     31.4    1.01    0    1
