
COORDINATES ARE EAST,NORTH,UP.
stress tensors are:
X Y See Sen Seu Snn Snu Suu
  0   0  0.641134 -0.655168  0.103594  0.319787  0.179950 -0.960921
  0   1  0.776552 -0.571195  0.065301  0.235758  0.248634 -1.012309
  0   2  0.824425 -0.630050  0.017422  0.132178  0.266524 -0.956603
  0   3  0.819522 -0.536286 -0.107864  0.245111  0.249431 -1.064634
  0   4  0.797863 -0.557057 -0.093614  0.242344  0.276363 -1.040207
  0   5  0.706795 -0.620137 -0.037438  0.400902  0.398273 -1.107698
  0   6  0.706795 -0.620137 -0.037438  0.400902  0.398273 -1.107698
  0   7  0.706795 -0.620137 -0.037438  0.400902  0.398273 -1.107698
  0   8  0.716791 -0.647203 -0.089869  0.408679  0.379181 -1.125471
  0   9  0.716791 -0.647203 -0.089869  0.408679  0.379181 -1.125471
  0  10  0.716791 -0.647203 -0.089869  0.408679  0.379181 -1.125471
  0  11  0.752337 -0.529923 -0.091774  0.343595  0.542510 -1.095931
  0  12  0.724280 -0.560709 -0.114878  0.386032  0.517998 -1.110312
  0  13  0.633976 -0.468518 -0.132927  0.490039  0.716665 -1.124016
  0  14  0.545951 -0.447102 -0.243945  0.500165  0.763520 -1.046115
  0  15  0.681330 -0.603000 -0.487438  0.597556  0.754116 -1.278887
  0  16  0.578120 -0.533597 -0.493896  0.644986  0.853908 -1.223106
  0  17  0.412561 -0.252900 -0.290592  0.871614  0.911458 -1.284175
  0  18  1.128290 -0.706451  0.111422 -0.606318  0.470675 -0.521972
  0  19  1.135084 -1.158309  0.048997 -0.401661  0.843239 -0.733423
  0  20  1.125074 -0.839979 -0.015074 -0.409491  0.497117 -0.715583
  0  21  0.906964 -0.349790  0.233037 -0.316011  0.347467 -0.590953
  0  22  0.876834 -0.486638  0.311045 -0.243032  0.357688 -0.633801
  0  23  0.925112 -0.517420  0.223835 -0.302194  0.289348 -0.622917
  0  24  0.925112 -0.517420  0.223835 -0.302194  0.289348 -0.622917
  0  25  0.980913 -0.520592  0.148629 -0.288037  0.265892 -0.692876
  0  26  0.955527 -0.639904  0.264479 -0.283544  0.021917 -0.671983
  0  27  0.947757 -0.710129  0.301332 -0.281337  0.098231 -0.666420
